OBJECTID,PolygonOID,Position,TIF_ID,X,Y
76,18,SE,5338,176550.923700000159442,176550.923700000159442
77,19,NW,5369,176537.600499999709427,176537.600499999709427
78,19,NE,5369,176546.892699999734759,176546.892699999734759
79,19,SW,5369,176532.743400000035763,176532.743400000035763
80,19,SE,5369,176540.843100000172853,176540.843100000172853
81,20,NW,4771,176147.839800000190735,176147.839800000190735
82,20,NE,4771,176150.923700000159442,176150.923700000159442
83,20,SW,4771,176142.246600000187755,176142.246600000187755
84,20,SE,4771,176150.923700000159442,176150.923700000159442
85,21,NW,4772,176150.923700000159442,176150.923700000159442
86,21,NE,4772,176156.463399999774992,176156.463399999774992
87,21,SW,4772,176150.923700000159442,176150.923700000159442
88,21,SE,4772,176156.463399999774992,176156.463399999774992
89,22,NW,4788,176142.246600000187755,176142.246600000187755
90,22,NE,4788,176150.923700000159442,176150.923700000159442
91,22,SW,4788,176137.339800000190735,176137.339800000190735
92,22,SE,4788,176150.923700000159442,176150.923700000159442
93,23,NW,4789,176150.923700000159442,176150.923700000159442
94,23,NE,4789,176162.131299999542534,176162.131299999542534
95,23,SW,4789,176152.262699999846518,176152.262699999846518
96,23,SE,4789,176152.399799999780953,176152.399799999780953
97,24,NW,4788,176146.305399999953806,176146.305399999953806
98,24,NE,4788,176150.923700000159442,176150.923700000159442
99,24,SW,4788,176147.030000000260770,176147.030000000260770
100,24,SE,4788,176150.923700000159442,176150.923700000159442
101,25,NW,4789,176154.291899999603629,176154.291899999603629
102,25,NE,4789,176170.958300000056624,176170.958300000056624
103,25,SW,4789,176150.923700000159442,176150.923700000159442
104,25,SE,4789,176173.235799999907613,176173.235799999907613
105,26,NW,4800,176147.030000000260770,176147.030000000260770
106,26,NE,4800,176150.923700000159442,176150.923700000159442
107,26,SW,4800,176148.282599999569356,176148.282599999569356
108,26,SE,4800,176150.923700000159442,176150.923700000159442
109,27,NW,4801,176150.923700000159442,176150.923700000159442
110,27,NE,4801,176173.235799999907613,176173.235799999907613
111,27,SW,4801,176150.923700000159442,176150.923700000159442
112,27,SE,4801,176174.848600000143051,176174.848600000143051
113,28,NW,5127,176702.080099999904633,176702.080099999904633
114,28,NE,5127,176713.593799999915063,176713.593799999915063
115,28,SW,5127,176702.174800000153482,176702.174800000153482
116,28,SE,5127,176713.577399999834597,176713.577399999834597
117,29,NW,5140,176702.174800000153482,176702.174800000153482
118,29,NE,5140,176713.577399999834597,176713.577399999834597
119,29,SW,5140,176703.012099999934435,176703.012099999934435
120,29,SE,5140,176713.417999999597669,176713.417999999597669
121,30,NW,5156,176703.012099999934435,176703.012099999934435
122,30,NE,5156,176713.417999999597669,176713.417999999597669
123,30,SW,5156,176703.849399999715388,176703.849399999715388
124,30,SE,5156,176713.258600000292063,176713.258600000292063
125,31,NW,5173,176703.849399999715388,176703.849399999715388
126,31,NE,5173,176713.258600000292063,176713.258600000292063
127,31,SW,5173,176704.173200000077486,176704.173200000077486
128,31,SE,5173,176713.196200000122190,176713.196200000122190
129,32,NW,5071,175845.435700000263751,175845.435700000263751
130,32,NE,5071,175850.923700000159442,175850.923700000159442
131,32,SW,5071,175842.074000000022352,175842.074000000022352
132,32,SE,5071,175850.923700000159442,175850.923700000159442
133,33,NW,5072,175850.923700000159442,175850.923700000159442
134,33,NE,5072,175860.491600000299513,175860.491600000299513
135,33,SW,5072,175850.923700000159442,175850.923700000159442
136,33,SE,5072,175857.464999999850988,175857.464999999850988
137,34,NW,5076,175842.074000000022352,175842.074000000022352
138,34,NE,5076,175850.923700000159442,175850.923700000159442
139,34,SW,5076,175847.547600000165403,175847.547600000165403
140,34,SE,5076,175850.923700000159442,175850.923700000159442
141,35,NW,5077,175850.923700000159442,175850.923700000159442
142,35,NE,5077,175857.464999999850988,175857.464999999850988
143,35,SW,5077,175850.923700000159442,175850.923700000159442
144,35,SE,5077,175855.872299999929965,175855.872299999929965
145,36,NW,5060,175847.871899999678135,175847.871899999678135
146,36,NE,5060,175850.923700000159442,175850.923700000159442
147,36,SW,5060,175848.669099999591708,175848.669099999591708
148,36,SE,5060,175850.923700000159442,175850.923700000159442
149,37,NW,5061,175850.923700000159442,175850.923700000159442
150,37,NE,5061,175869.343500000424683,175869.343500000424683
151,37,SW,5061,175850.923700000159442,175850.923700000159442
152,37,SE,5061,175869.844600000418723,175869.844600000418723
153,38,NW,5060,175847.135400000028312,175847.135400000028312
154,38,NE,5060,175850.923700000159442,175850.923700000159442
155,38,SW,5060,175847.030199999921024,175847.030199999921024
156,38,SE,5060,175850.923700000159442,175850.923700000159442
157,39,NW,5061,175850.923700000159442,175850.923700000159442
158,39,NE,5061,175868.139600000344217,175868.139600000344217
159,39,SW,5061,175850.923700000159442,175850.923700000159442
160,39,SE,5061,175868.197900000028312,175868.197900000028312
161,40,NW,5071,175847.030199999921024,175847.030199999921024
162,40,NE,5071,175850.923700000159442,175850.923700000159442
163,40,SW,5071,175846.959699999541044,175846.959699999541044
164,40,SE,5071,175850.923700000159442,175850.923700000159442
165,41,NW,5072,175850.923700000159442,175850.923700000159442
166,41,NE,5072,175868.197900000028312,175868.197900000028312
167,41,SW,5072,175850.923700000159442,175850.923700000159442
168,41,SE,5072,175868.526800000108778,175868.526800000108778
169,42,NW,5071,175845.351499999873340,175845.351499999873340
170,42,NE,5071,175850.923700000159442,175850.923700000159442
171,42,SW,5071,175845.284500000067055,175845.284500000067055
172,42,SE,5071,175850.923700000159442,175850.923700000159442
173,43,NW,5072,175850.923700000159442,175850.923700000159442
174,43,NE,5072,175866.898900000378489,175866.898900000378489
175,43,SW,5072,175850.923700000159442,175850.923700000159442
176,43,SE,5072,175866.828700000420213,175866.828700000420213
177,44,NW,5073,176073.225700000301003,176073.225700000301003
178,44,NE,5073,176079.784900000318885,176079.784900000318885
179,44,SW,5073,176072.762000000104308,176072.762000000104308
180,44,SE,5073,176079.095499999821186,176079.095499999821186
181,45,NW,5078,176072.762000000104308,176072.762000000104308
182,45,NE,5078,176079.095499999821186,176079.095499999821186
183,45,SW,5078,176068.329800000414252,176068.329800000414252
184,45,SE,5078,176077.244199999608099,176077.244199999608099
185,46,NW,5080,176068.329800000414252,176068.329800000414252
186,46,NE,5080,176077.244199999608099,176077.244199999608099
187,46,SW,5080,176067.444199999794364,176067.444199999794364
188,46,SE,5080,176076.513000000268221,176076.513000000268221
189,47,NW,5615,176814.536199999973178,176814.536199999973178
190,47,NE,5615,176838.581299999728799,176838.581299999728799
191,47,SW,5615,176818.138700000010431,176818.138700000010431
192,47,SE,5615,176842.577800000086427,176842.577800000086427
193,48,NW,5603,176859.836299999617040,176859.836299999617040
194,48,NE,5603,176898.158499999903142,176898.158499999903142
195,48,SW,5603,176859.836299999617040,176859.836299999617040
196,48,SE,5603,176900.038200000301003,176900.038200000301003
197,49,NW,5616,176852.475300000049174,176852.475300000049174
198,49,NE,5616,176887.969800000078976,176887.969800000078976
199,49,SW,5616,176855.122399999760091,176855.122399999760091
200,49,SE,5616,176887.969800000078976,176887.969800000078976
201,50,NW,5615,176832.008999999612570,176832.008999999612570
202,50,NE,5615,176850.923700000159442,176850.923700000159442
203,50,SW,5615,176828.204900000244379,176828.204900000244379
204,50,SE,5615,176850.923700000159442,176850.923700000159442
205,51,NW,5616,176850.923700000159442,176850.923700000159442
206,51,NE,5616,176898.581399999558926,176898.581399999558926
207,51,SW,5616,176850.923700000159442,176850.923700000159442
208,51,SE,5616,176900.923700000159442,176900.923700000159442
209,52,NW,5617,176900.923700000159442,176900.923700000159442
210,52,NE,5617,176906.905899999663234,176906.905899999663234
211,52,SW,5617,176900.923700000159442,176900.923700000159442
212,52,SE,5617,176908.424200000241399,176908.424200000241399
213,53,NW,5602,176843.104700000025332,176843.104700000025332
214,53,NE,5602,176850.923700000159442,176850.923700000159442
215,53,SW,5602,176844.740899999625981,176844.740899999625981
216,53,SE,5602,176850.923700000159442,176850.923700000159442
217,54,NW,5603,176850.923700000159442,176850.923700000159442
218,54,NE,5603,176899.531899999827147,176899.531899999827147
219,54,SW,5603,176850.923700000159442,176850.923700000159442
220,54,SE,5603,176900.923700000159442,176900.923700000159442
221,55,NW,5604,176900.923700000159442,176900.923700000159442
222,55,NE,5604,176900.923700000159442,176900.923700000159442
223,55,SW,5604,176900.923700000159442,176900.923700000159442
224,55,SE,5604,176900.988300000317395,176900.988300000317395
225,56,NW,5602,176811.066599999554455,176811.066599999554455
226,56,NE,5602,176832.435200000181794,176832.435200000181794
227,56,SW,5602,176811.066599999554455,176811.066599999554455
228,56,SE,5602,176835.968100000172853,176835.968100000172853
229,57,NW,5614,176752.266300000250340,176752.266300000250340
230,57,NE,5614,176800.923700000159442,176800.923700000159442
231,57,SW,5614,176754.370099999941885,176754.370099999941885
232,57,SE,5614,176800.923700000159442,176800.923700000159442
233,58,NW,5615,176800.923700000159442,176800.923700000159442
234,58,NE,5615,176835.968100000172853,176835.968100000172853
235,58,SW,5615,176800.923700000159442,176800.923700000159442
236,58,SE,5615,176836.930700000375509,176836.930700000375509
237,59,NW,5602,176843.019199999980628,176843.019199999980628
238,59,NE,5602,176850.923700000159442,176850.923700000159442
239,59,SW,5602,176846.881199999712408,176846.881199999712408
240,59,SE,5602,176850.923700000159442,176850.923700000159442
241,60,NW,5603,176850.923700000159442,176850.923700000159442
242,60,NE,5603,176888.581000000238419,176888.581000000238419
243,60,SW,5603,176850.923700000159442,176850.923700000159442
244,60,SE,5603,176892.827399999834597,176892.827399999834597
245,61,NW,5600,176748.737099999561906,176748.737099999561906
246,61,NE,5600,176750.923700000159442,176750.923700000159442
247,61,SW,5600,176748.737099999561906,176748.737099999561906
248,61,SE,5600,176750.923700000159442,176750.923700000159442
249,62,NW,5601,176750.923700000159442,176750.923700000159442
250,62,NE,5601,176800.923700000159442,176800.923700000159442
251,62,SW,5601,176750.923700000159442,176750.923700000159442
252,62,SE,5601,176800.923700000159442,176800.923700000159442
253,63,NW,5602,176800.923700000159442,176800.923700000159442
254,63,NE,5602,176828.461699999868870,176828.461699999868870
255,63,SW,5602,176800.923700000159442,176800.923700000159442
256,63,SE,5602,176830.128700000233948,176830.128700000233948
257,64,NW,5613,176748.322700000368059,176748.322700000368059
258,64,NE,5613,176750.923700000159442,176750.923700000159442
259,64,SW,5613,176750.094700000248849,176750.094700000248849
260,64,SE,5613,176750.923700000159442,176750.923700000159442
261,65,NW,5614,176750.923700000159442,176750.923700000159442
262,65,NE,5614,176779.874400000087917,176779.874400000087917
263,65,SW,5614,176750.923700000159442,176750.923700000159442
264,65,SE,5614,176779.874400000087917,176779.874400000087917
265,66,NW,1334,200598.912399999797344,200598.912399999797344
266,66,NE,1334,200600.923700000159442,200600.923700000159442
267,66,SW,1334,200600.923700000159442,200600.923700000159442
268,66,SE,1334,200600.923700000159442,200600.923700000159442
269,67,NW,1335,200600.923700000159442,200600.923700000159442
270,67,NE,1335,200606.861100000329316,200606.861100000329316
271,67,SW,1335,200604.063199999742210,200604.063199999742210
272,67,SE,1335,200612.063900000415742,200612.063900000415742
273,68,NW,1344,200604.063199999742210,200604.063199999742210
274,68,NE,1344,200612.063900000415742,200612.063900000415742
275,68,SW,1344,200613.876799999736249,200613.876799999736249
276,68,SE,1344,200622.194699999876320,200622.194699999876320
277,69,NW,1352,200613.876799999736249,200613.876799999736249
278,69,NE,1352,200622.194699999876320,200622.194699999876320
279,69,SW,1352,200619.325299999676645,200619.325299999676645
280,69,SE,1352,200627.546799999661744,200627.546799999661744
281,70,NW,1335,200631.138299999758601,200631.138299999758601
282,70,NE,1335,200639.906100000254810,200639.906100000254810
283,70,SW,1335,200637.847799999639392,200637.847799999639392
284,70,SE,1335,200646.218500000424683,200646.218500000424683
285,71,NW,1344,200637.847799999639392,200637.847799999639392
286,71,NE,1344,200646.218500000424683,200646.218500000424683
287,71,SW,1344,200648.027499999850988,200648.027499999850988
288,71,SE,1344,200650.923700000159442,200650.923700000159442
289,72,NW,1345,200650.923700000159442,200650.923700000159442
290,72,NE,1345,200650.923700000159442,200650.923700000159442
291,72,SW,1345,200650.923700000159442,200650.923700000159442
292,72,SE,1345,200655.932099999859929,200655.932099999859929
293,73,NW,1352,200648.027499999850988,200648.027499999850988
294,73,NE,1352,200650.923700000159442,200650.923700000159442
295,73,SW,1352,200650.923700000159442,200650.923700000159442
296,73,SE,1352,200650.923700000159442,200650.923700000159442
297,74,NW,1353,200650.923700000159442,200650.923700000159442
298,74,NE,1353,200655.932099999859929,200655.932099999859929
299,74,SW,1353,200652.626000000163913,200652.626000000163913
300,74,SE,1353,200660.281799999997020,200660.281799999997020
301,75,NW,1306,200594.242399999871850,200594.242399999871850
302,75,NE,1306,200600.923700000159442,200600.923700000159442
303,75,SW,1306,200597.339499999769032,200597.339499999769032
304,75,SE,1306,200600.923700000159442,200600.923700000159442
305,76,NW,1307,200600.923700000159442,200600.923700000159442
306,76,NE,1307,200602.907999999821186,200602.907999999821186
307,76,SW,1307,200600.923700000159442,200600.923700000159442
308,76,SE,1307,200606.071800000034273,200606.071800000034273
309,77,NW,1315,200597.339499999769032,200597.339499999769032
310,77,NE,1315,200600.923700000159442,200600.923700000159442
311,77,SW,1315,200600.923700000159442,200600.923700000159442
312,77,SE,1315,200600.923700000159442,200600.923700000159442
313,78,NW,1316,200600.923700000159442,200600.923700000159442
314,78,NE,1316,200606.071800000034273,200606.071800000034273
315,78,SW,1316,200607.468299999833107,200607.468299999833107
316,78,SE,1316,200616.010800000280142,200616.010800000280142
317,79,NW,1325,200607.468299999833107,200607.468299999833107
318,79,NE,1325,200616.010800000280142,200616.010800000280142
319,79,SW,1325,200616.341900000348687,200616.341900000348687
320,79,SE,1325,200624.548799999989569,200624.548799999989569
321,80,NW,1307,200628.280500000342727,200628.280500000342727
322,80,NE,1307,200636.249599999748170,200636.249599999748170
323,80,SW,1307,200632.758899999782443,200632.758899999782443
324,80,SE,1307,200640.811800000257790,200640.811800000257790
325,81,NW,1316,200632.758899999782443,200632.758899999782443
326,81,NE,1316,200640.811800000257790,200640.811800000257790
327,81,SW,1316,200642.202200000174344,200642.202200000174344
328,81,SE,1316,200650.614900000393391,200650.614900000393391
329,82,NW,1325,200642.202200000174344,200642.202200000174344
330,82,NE,1325,200650.614900000393391,200650.614900000393391
331,82,SW,1325,200649.167999999597669,200649.167999999597669
332,82,SE,1325,200650.923700000159442,200650.923700000159442
333,83,NW,1326,200650.923700000159442,200650.923700000159442
334,83,NE,1326,200650.923700000159442,200650.923700000159442
335,83,SW,1326,200650.923700000159442,200650.923700000159442
336,83,SE,1326,200657.595200000330806,200657.595200000330806
337,84,NW,958,200588.081399999558926,200588.081399999558926
338,84,NE,958,200600.923700000159442,200600.923700000159442
339,84,SW,958,200589.730100000277162,200589.730100000277162
340,84,SE,958,200600.923700000159442,200600.923700000159442
341,85,NW,959,200600.923700000159442,200600.923700000159442
342,85,NE,959,200605.762000000104308,200605.762000000104308
343,85,SW,959,200600.923700000159442,200600.923700000159442
344,85,SE,959,200607.719499999657273,200607.719499999657273
345,86,NW,965,200589.730100000277162,200589.730100000277162
346,86,NE,965,200600.923700000159442,200600.923700000159442
347,86,SW,965,200600.923700000159442,200600.923700000159442
348,86,SE,965,200600.923700000159442,200600.923700000159442
349,87,NW,966,200600.923700000159442,200600.923700000159442
350,87,NE,966,200607.719499999657273,200607.719499999657273
351,87,SW,966,200604.628999999724329,200604.628999999724329
352,87,SE,966,200622.628700000233948,200622.628700000233948
353,88,NW,769,200086.422699999995530,200086.422699999995530
354,88,NE,769,200100.923700000159442,200100.923700000159442
355,88,SW,769,200062.748700000345707,200062.748700000345707
356,88,SE,769,200090.441700000315905,200090.441700000315905
357,89,NW,770,200100.923700000159442,200100.923700000159442
358,89,NE,770,200111.424200000241399,200111.424200000241399
359,89,SW,770,200100.923700000159442,200100.923700000159442
360,89,SE,770,200100.923700000159442,200100.923700000159442
361,90,NW,784,200050.923700000159442,200050.923700000159442
362,90,NE,784,200050.923700000159442,200050.923700000159442
363,90,SW,784,200033.850599999539554,200033.850599999539554
364,90,SE,784,200050.923700000159442,200050.923700000159442
365,91,NW,785,200062.748700000345707,200062.748700000345707
366,91,NE,785,200090.441700000315905,200090.441700000315905
367,91,SW,785,200050.923700000159442,200050.923700000159442
368,91,SE,785,200064.419300000183284,200064.419300000183284
369,92,NW,797,200033.850599999539554,200033.850599999539554
370,92,NE,797,200050.923700000159442,200050.923700000159442
371,92,SW,797,200020.699599999934435,200020.699599999934435
372,92,SE,797,200050.461699999868870,200050.461699999868870
373,93,NW,798,200050.923700000159442,200050.923700000159442
374,93,NE,798,200064.419300000183284,200064.419300000183284
375,93,SW,798,200050.923700000159442,200050.923700000159442
376,93,SE,798,200050.923700000159442,200050.923700000159442
377,94,NW,770,200136.635900000110269,200136.635900000110269
378,94,NE,770,200150.923700000159442,200150.923700000159442
379,94,SW,770,200119.167200000025332,200119.167200000025332
380,94,SE,770,200134.591900000348687,200134.591900000348687
381,95,NW,771,200150.923700000159442,200150.923700000159442
382,95,NE,771,200152.034199999645352,200152.034199999645352
383,95,SW,771,200150.923700000159442,200150.923700000159442
384,95,SE,771,200150.923700000159442,200150.923700000159442
385,96,NW,785,200100.923700000159442,200100.923700000159442
386,96,NE,785,200100.923700000159442,200100.923700000159442
387,96,SW,785,200090.687599999830127,200090.687599999830127
388,96,SE,785,200100.923700000159442,200100.923700000159442
389,97,NW,786,200119.167200000025332,200119.167200000025332
390,97,NE,786,200134.591900000348687,200134.591900000348687
391,97,SW,786,200100.923700000159442,200100.923700000159442
392,97,SE,786,200105.917899999767542,200105.917899999767542
393,98,NW,798,200090.687599999830127,200090.687599999830127
394,98,NE,798,200100.923700000159442,200100.923700000159442
395,98,SW,798,200070.942200000397861,200070.942200000397861
396,98,SE,798,200085.283099999651313,200085.283099999651313
397,99,NW,799,200100.923700000159442,200100.923700000159442
398,99,NE,799,200105.917899999767542,200105.917899999767542
399,99,SW,799,200100.923700000159442,200100.923700000159442
400,99,SE,799,200100.923700000159442,200100.923700000159442
401,100,NW,748,200325.947300000116229,200325.947300000116229
402,100,NE,748,200343.400200000032783,200343.400200000032783
403,100,SW,748,200320.592600000090897,200320.592600000090897
404,100,SE,748,200338.149199999868870,200338.149199999868870
405,101,NW,754,200320.592600000090897,200320.592600000090897
406,101,NE,754,200338.149199999868870,200338.149199999868870
407,101,SW,754,200315.642599999904633,200315.642599999904633
408,101,SE,754,200332.925300000235438,200332.925300000235438
409,102,NW,352,198431.260300000198185,198431.260300000198185
410,102,NE,352,198439.901100000366569,198439.901100000366569
411,102,SW,352,198432.300699999555945,198432.300699999555945
412,102,SE,352,198440.985899999737740,198440.985899999737740
413,103,NW,364,198432.300699999555945,198432.300699999555945
414,103,NE,364,198440.985899999737740,198440.985899999737740
415,103,SW,364,198433.481100000441074,198433.481100000441074
416,103,SE,364,198442.201999999582767,198442.201999999582767
417,104,NW,379,198433.481100000441074,198433.481100000441074
418,104,NE,379,198442.201999999582767,198442.201999999582767
419,104,SW,379,198433.712600000202656,198433.712600000202656
420,104,SE,379,198442.423000000417233,198442.423000000417233
421,105,NW,755,201334.794099999591708,201334.794099999591708
422,105,NE,755,201350.923700000159442,201350.923700000159442
423,105,SW,755,201339.494599999859929,201339.494599999859929
424,105,SE,755,201350.923700000159442,201350.923700000159442
425,106,NW,756,201350.923700000159442,201350.923700000159442
426,106,NE,756,201389.325600000098348,201389.325600000098348
427,106,SW,756,201350.923700000159442,201350.923700000159442
428,106,SE,756,201390.487499999813735,201390.487499999813735
429,107,NW,554,199558.930700000375509,199558.930700000375509
430,107,NE,554,199567.342899999581277,199567.342899999581277
431,107,SW,554,199559.271700000390410,199559.271700000390410
432,107,SE,554,199567.723799999803305,199567.723799999803305
433,108,NW,563,199559.271700000390410,199559.271700000390410
434,108,NE,563,199567.723799999803305,199567.723799999803305
435,108,SW,563,199560.595800000242889,199560.595800000242889
436,108,SE,563,199569.193400000222027,199569.193400000222027
437,109,NW,577,199560.595800000242889,199560.595800000242889
438,109,NE,577,199569.193400000222027,199569.193400000222027
439,109,SW,577,199560.694500000216067,199560.694500000216067
440,109,SE,577,199569.293200000189245,199569.293200000189245
441,110,NW,553,199532.747299999929965,199532.747299999929965
442,110,NE,553,199550.923700000159442,199550.923700000159442
443,110,SW,553,199532.876199999824166,199532.876199999824166
444,110,SE,553,199550.923700000159442,199550.923700000159442
445,111,NW,554,199550.923700000159442,199550.923700000159442
446,111,NE,554,199550.955500000156462,199550.955500000156462
447,111,SW,554,199550.923700000159442,199550.923700000159442
448,111,SE,554,199550.951000000350177,199550.951000000350177
449,112,NW,562,199539.108199999667704,199539.108199999667704
450,112,NE,562,199550.923700000159442,199550.923700000159442
451,112,SW,562,199539.079900000244379,199539.079900000244379
452,112,SE,562,199550.923700000159442,199550.923700000159442
453,113,NW,563,199550.923700000159442,199550.923700000159442
454,113,NE,563,199550.951000000350177,199550.951000000350177
455,113,SW,563,199550.923700000159442,199550.923700000159442
456,113,SE,563,199550.946999999694526,199550.946999999694526
457,114,NW,1586,201912.800499999895692,201912.800499999895692
458,114,NE,1586,201917.746000000275671,201917.746000000275671
459,114,SW,1586,201911.288399999961257,201911.288399999961257
460,114,SE,1586,201921.024400000460446,201921.024400000460446
461,115,NW,1585,201883.396800000220537,201883.396800000220537
462,115,NE,1585,201894.825600000098348,201894.825600000098348
463,115,SW,1585,201883.396800000220537,201883.396800000220537
464,115,SE,1585,201896.410500000230968,201896.410500000230968
465,116,NW,1609,201877.934700000099838,201877.934700000099838
466,116,NE,1609,201896.410500000230968,201896.410500000230968
467,116,SW,1609,201895.034799999557436,201895.034799999557436
468,116,SE,1609,201900.923700000159442,201900.923700000159442
469,117,NW,1610,201900.923700000159442,201900.923700000159442
470,117,NE,1610,201900.923700000159442,201900.923700000159442
471,117,SW,1610,201900.923700000159442,201900.923700000159442
472,117,SE,1610,201914.298899999819696,201914.298899999819696
473,118,NW,1631,201895.034799999557436,201895.034799999557436
474,118,NE,1631,201900.923700000159442,201900.923700000159442
475,118,SW,1631,201900.923700000159442,201900.923700000159442
476,118,SE,1631,201900.923700000159442,201900.923700000159442
477,119,NW,1632,201900.923700000159442,201900.923700000159442
478,119,NE,1632,201914.298899999819696,201914.298899999819696
479,119,SW,1632,201900.981999999843538,201900.981999999843538
480,119,SE,1632,201918.008799999952316,201918.008799999952316
481,120,NW,1574,200429.533599999733269,200429.533599999733269
482,120,NE,1574,200439.970099999569356,200439.970099999569356
483,120,SW,1574,200432.088100000284612,200432.088100000284612
484,120,SE,1574,200441.198400000110269,200441.198400000110269
485,121,NW,1561,200453.599600000306964,200453.599600000306964
486,121,NE,1561,200461.069199999794364,200461.069199999794364
487,121,SW,1561,200453.975999999791384,200453.975999999791384
488,121,SE,1561,200462.242100000381470,200462.242100000381470
489,122,NW,1575,200453.975999999791384,200453.975999999791384
490,122,NE,1575,200462.242100000381470,200462.242100000381470
491,122,SW,1575,200455.687099999748170,200455.687099999748170
492,122,SE,1575,200463.556900000199676,200463.556900000199676
493,123,NW,1561,200472.763399999588728,200472.763399999588728
494,123,NE,1561,200483.192400000058115,200483.192400000058115
495,123,SW,1561,200474.824500000104308,200474.824500000104308
496,123,SE,1561,200484.078200000338256,200484.078200000338256
497,124,NW,1575,200474.824500000104308,200474.824500000104308
498,124,NE,1575,200478.088700000196695,200478.088700000196695
499,124,SW,1575,200475.091300000436604,200475.091300000436604
500,124,SE,1575,200478.088700000196695,200478.088700000196695
501,125,NW,1274,199977.479199999943376,199977.479199999943376
502,125,NE,1274,200000.923700000159442,200000.923700000159442
